harike,date,covid,ihsg
1,01-Mar-20,-0.749960751,-0.081966708
2,02-Mar-20,-0.749749251,0.132887572
3,03-Mar-20,-0.749960751,0.113206264
4,04-Mar-20,-0.749960751,-0.114768888
5,07-Mar-20,-0.749749251,-0.708488348
6,08-Mar-20,-0.749960751,-0.570719191
7,09-Mar-20,-0.748586,-0.680606495
8,10-Mar-20,-0.74911475,-1.103754618
9,11-Mar-20,-0.7492205,-1.08407331
10,14-Mar-20,-0.747105499,-1.439976965
11,15-Mar-20,-0.74774,-1.823762472
12,16-Mar-20,-0.748163,-2.030416207
13,17-Mar-20,-0.745942249,-2.401080842
14,18-Mar-20,-0.744461748,-2.253471032
15,21-Mar-20,-0.741394997,-2.589693378
16,22-Mar-20,-0.742663997,-2.674979046
17,24-Mar-20,-0.738751246,-2.017295335
18,25-Mar-20,-0.738856996,-1.67779277
19,28-Mar-20,-0.738433995,-1.89264705
20,29-Mar-20,-0.736213244,-1.689273533
21,30-Mar-20,-0.736318994,-1.809001491
22,31-Mar-20,-0.737905245,-1.700754297
23,01-Apr-20,-0.734203993,-1.551504377
24,04-Apr-20,-0.738751246,-1.241523775
25,05-Apr-20,-0.730819992,-1.295647372
26,06-Apr-20,-0.72690724,-1.544943941
27,07-Apr-20,-0.723840489,-1.508861543
28,11-Apr-20,-0.714005734,-1.549864268
29,12-Apr-20,-0.707766481,-1.415375329
30,13-Apr-20,-0.716543735,-1.54658405
31,14-Apr-20,-0.720139237,-1.784399856
32,15-Apr-20,-0.718552986,-1.531823069
33,18-Apr-20,-0.715591985,-1.6285895
34,19-Apr-20,-0.715380485,-1.749957567
35,20-Apr-20,-0.730396992,-1.641710372
36,21-Apr-20,-0.710304482,-1.599067538
37,22-Apr-20,-0.720033487,-1.759798221
38,25-Apr-20,-0.708083731,-1.731916368
39,26-Apr-20,-0.720879487,-1.704034515
40,27-Apr-20,-0.72733024,-1.643350481
41,28-Apr-20,-0.70607448,-1.398974239
42,02-May-20,-0.719081736,-1.581026339
43,03-May-20,-0.713053984,-1.540023614
44,04-May-20,-0.708189481,-1.574465903
45,06-May-20,-0.711150483,-1.594147211
46,09-May-20,-0.693595975,-1.525262633
47,10-May-20,-0.709035482,-1.607268083
48,11-May-20,-0.725320989,-1.664671898
49,12-May-20,-0.698777727,-1.730276259
50,13-May-20,-0.677098967,-1.740116913
51,16-May-20,-0.694018975,-1.735196586
52,17-May-20,-0.698248977,-1.672872443
53,18-May-20,-0.697508726,-1.67779277
54,24-May-20,-0.694336225,-1.544943941
55,25-May-20,-0.699306477,-1.520342306
56,26-May-20,-0.70607448,-1.398974239
57,27-May-20,-0.677416217,-1.336650097
58,31-May-20,-0.675935716,-1.182479851
59,01-Jun-20,-0.700575478,-1.029949713
60,02-Jun-20,-0.685558971,-1.069312329
61,03-Jun-20,-0.677627717,-1.01846895
62,06-Jun-20,-0.644950952,-0.816735542
63,07-Jun-20,-0.678896718,-0.875779466
64,08-Jun-20,-0.660390459,-1.062751893
65,09-Jun-20,-0.63966345,-1.170999088
66,10-Jun-20,-0.61883069,-1.129996362
67,13-Jun-20,-0.642730201,-1.234963339
68,14-Jun-20,-0.659332959,-0.956144808
69,15-Jun-20,-0.642412951,-0.95286459
70,16-Jun-20,-0.633001197,-1.056191457
71,17-Jun-20,-0.64093245,-1.028309604
72,20-Jun-20,-0.620311191,-1.066032111
73,21-Jun-20,-0.658804209,-1.131636471
74,22-Jun-20,-0.649075204,-0.990587097
75,23-Jun-20,-0.638817449,-1.102114509
76,24-Jun-20,-0.632260946,-1.090633746
77,27-Jun-20,-0.603496933,-1.093913964
78,28-Jun-20,-0.623272192,-1.088993637
79,29-Jun-20,-0.635539198,-1.074232656
80,30-Jun-20,-0.613225937,-0.987306879
81,01-Jul-20,-0.603496933,-0.975826116
82,04-Jul-20,-0.59694043,-0.951224481
83,05-Jul-20,-0.580020422,-0.954504699
84,06-Jul-20,-0.622108942,-0.808534997
85,07-Jul-20,-0.615869689,-0.846257504
86,08-Jul-20,-0.55400591,-0.882339903
87,11-Jul-20,-0.573252419,-0.828216305
88,12-Jul-20,-0.572194918,-0.80361467
89,13-Jul-20,-0.614389188,-0.808534997
90,14-Jul-20,-0.581712423,-0.772452599
91,15-Jul-20,-0.589009176,-0.801974561
92,18-Jul-20,-0.564686665,-0.849537722
93,19-Jul-20,-0.576636421,-0.744570746
94,20-Jul-20,-0.570925918,-0.752771291
95,21-Jul-20,-0.57494442,-0.695367476
96,22-Jul-20,-0.550939159,-0.797054234
97,25-Jul-20,-0.552419659,-0.741290528
98,26-Jul-20,-0.592181678,-0.747850964
99,27-Jul-20,-0.588691926,-0.687166931
100,28-Jul-20,-0.565109665,-0.687166931
101,01-Aug-20,-0.584990674,-0.923342628
102,02-Aug-20,-0.589326426,-0.810175106
103,03-Aug-20,-0.572406419,-0.724889438
104,04-Aug-20,-0.546709157,-0.641243879
105,05-Aug-20,-0.558024412,-0.697007585
106,08-Aug-20,-0.509167889,-0.674046059
107,09-Aug-20,-0.549775908,-0.621562571
108,10-Aug-20,-0.571560418,-0.551037883
109,11-Aug-20,-0.570925918,-0.541197229
110,12-Aug-20,-0.544594156,-0.526436248
111,16-Aug-20,-0.529894899,-0.449351125
112,17-Aug-20,-0.557389912,-0.485433523
113,22-Aug-20,-0.528943148,-0.478873087
114,23-Aug-20,-0.534547901,-0.377186329
115,24-Aug-20,-0.551467909,-0.37554622
116,25-Aug-20,-0.491190381,-0.32470284
117,26-Aug-20,-0.506101138,-0.364065457
118,29-Aug-20,-0.400139589,-0.542837338
119,30-Aug-20,-0.447727111,-0.423109381
120,31-Aug-20,-0.459888366,-0.421469272
121,01-Sep-20,-0.456504365,-0.472312651
122,02-Sep-20,-0.42477935,-0.53955712
123,05-Sep-20,-0.419174598,-0.55595821
124,06-Sep-20,-0.385757582,-0.532996684
125,07-Sep-20,-0.44540061,-0.68880704
126,08-Sep-20,-0.427846102,-1.111955163
127,09-Sep-20,-0.400245339,-0.905301429
128,12-Sep-20,-0.347476064,-0.667485623
129,13-Sep-20,-0.365453573,-0.767532272
130,14-Sep-20,-0.417799847,-0.838056959
131,15-Sep-20,-0.379095329,-0.870859139
132,16-Sep-20,-0.330873307,-0.83641685
133,19-Sep-20,-0.309194547,-0.934823391
134,20-Sep-20,-0.328123805,-1.041430476
135,21-Sep-20,-0.308348546,-1.06767222
136,22-Sep-20,-0.319452301,-1.190680396
137,23-Sep-20,-0.277786782,-1.021749168
138,26-Sep-20,-0.274720031,-1.085713419
139,27-Sep-20,-0.340285061,-1.131636471
140,28-Sep-20,-0.378883829,-1.146397452
141,29-Sep-20,-0.326749055,-0.982386552
142,30-Sep-20,-0.296927541,-1.052911239
143,03-Oct-20,-0.326220305,-1.000427751
144,04-Oct-20,-0.327806555,-0.934823391
145,05-Oct-20,-0.366934073,-0.926622846
146,06-Oct-20,-0.321038552,-0.86921903
147,07-Oct-20,-0.270067029,-0.844617395
148,10-Oct-20,-0.295870041,-0.780653144
149,11-Oct-20,-0.274402781,-0.715048784
150,12-Oct-20,-0.404475341,-0.644524097
151,13-Oct-20,-0.33690106,-0.760971836
152,14-Oct-20,-0.313530299,-0.764252054
